geoid,name,tenure,income_band,burden,estimate,moe,cv,reliability
51127,New Kent County,Owner,30-50% AMI,Not cost-burdened,300,148.17557153593165,30.02544509340053,Low
51127,New Kent County,Owner,30-50% AMI,Cost-burdened,209,127.79671357276759,37.17127836208537,Low
51127,New Kent County,Owner,30-50% AMI,Severely cost-burdened,130,88.14760348415605,41.21936099329252,Low
51127,New Kent County,Owner,50-80% AMI,Not cost-burdened,459,159.53056133543816,21.128336523225215,Medium
51127,New Kent County,Owner,50-80% AMI,Cost-burdened,179,100.16985574512923,34.01873146834974,Low
51127,New Kent County,Owner,50-80% AMI,Severely cost-burdened,75,82.46211251235322,66.83859170200867,Low
51127,New Kent County,Owner,80-100% AMI,Not cost-burdened,780,215.8564337702261,16.823040586877568,Medium
51127,New Kent County,Owner,80-100% AMI,Cost-burdened,264,161.22654868228122,37.12502272319269,Low
51127,New Kent County,Owner,80-100% AMI,Severely cost-burdened,35,75.82216034906945,131.69285340698124,Low
51127,New Kent County,Owner,100%+ AMI,Not cost-burdened,4750,500.7414502515245,6.408465208786109,High
51127,New Kent County,Owner,100%+ AMI,Cost-burdened,250,111.72287142747452,27.166655666255203,Medium
51127,New Kent County,Owner,100%+ AMI,Severely cost-burdened,4,50.15974481593781,762.3061522178998,Low
51127,New Kent County,Renter,0-30% AMI,Not cost-burdened,0,55.90169943749474,NA,NA
51127,New Kent County,Renter,0-30% AMI,Cost-burdened,45,78.10249675906654,105.50826985351777,Low
51127,New Kent County,Renter,0-30% AMI,Severely cost-burdened,30,60.4648658313239,122.52252448089949,Low
51127,New Kent County,Renter,30-50% AMI,Not cost-burdened,25,62.20128616033595,151.2493280494491,Low
51127,New Kent County,Renter,30-50% AMI,Cost-burdened,40,61.318838867023565,93.18972472192031,Low
51127,New Kent County,Renter,30-50% AMI,Severely cost-burdened,85,135.5249054602142,96.92465972480902,Low
51127,New Kent County,Renter,50-80% AMI,Not cost-burdened,93,85.07643622061282,55.61096592516444,Low
